Result,Goals For,Goals Against,Date,gameid,Team,Opponent,Player,Position,TOI,Goals,iXG,Assists,Primary Assists,Secondary Assists,Shot Attempts,Shots,Slot Shots,Rush Chances,Cycle Chances,Forecheck Chances,Rebound Chances,OZ Pass Attempts,Successful OZ Passes,Slot Pass Completions,Total Stretch Pass Attempts,Successful Stretch Pass Attempts,Scoring Chances Generated,Controlled Exits,Controlled Entries,OZ Time of Possession,Pct of Play in OZ,Pct of Play in DZ,Overall Contested LPR Recovery Rate,Player Goals Against,Shot Attempts Against,Shots Against,Slot Attempts Against,Slot Shots Against,OZ Pass Attempts Against,Successful OZ Passes Against,Successful Slot Passes Against,Rush Chances Against,Cycle Chances Against,Forecheck Chances Against,Rebound Chances Against,Penalties Taken,Penalties Drawn,xGF WOI,xGA WOI,xGF%
W,5,2,27/2/2021,46181,MIN,NH,Savannah Harmon,D,30.25,1,0.337,0,0,0,9,1,1,2,2,0,0,17,15,2,6,5,3,2,3,0.44,0.382,0.415,0.462,1,32,19,10,5,78,45,6,3,2,0,1,0,0,2.311,1.04,0.69
W,5,2,27/2/2021,46181,MIN,NH,Lee Stecklein,D,32.18,0,0.195,0,0,0,3,2,1,1,1,1,0,8,4,0,0,0,1,5,2,0.22,0.358,0.424,0.353,1,30,17,15,10,81,56,6,3,4,1,2,0,0,2.271,1.58,0.59
W,5,2,27/2/2021,46181,MIN,NH,Demi Crossman,D,28.29,0,0.022,0,0,0,4,2,0,0,0,0,0,2,1,0,1,0,0,1,0,0.05,0.352,0.42,0.111,1,31,17,14,10,67,40,6,4,3,1,1,0,0,2.102,1.395,0.601
W,5,2,27/2/2021,46181,MIN,NH,Margo Lund,D,14.56,0,0.063,0,0,0,3,2,0,0,0,0,0,3,1,0,3,1,0,2,0,0.05,0.339,0.454,0.286,1,15,10,4,2,43,23,2,0,2,0,0,0,0,1.026,0.336,0.753
L,2,5,27/2/2021,46181,NH,MIN,Jincy Dunne,D,21.56,0,0.17,0,0,0,5,0,0,0,2,0,0,11,7,1,3,1,1,6,0,0.26,0.474,0.327,0.556,1,19,13,9,6,32,23,3,4,2,0,2,1,0,1.117,1.228,0.476
L,2,5,27/2/2021,46181,NH,MIN,Kali Flanagan,D,29.39,0,0.079,0,0,0,6,2,0,0,0,0,0,12,10,1,0,0,1,8,1,0.28,0.433,0.358,0.385,2,32,20,17,9,74,55,7,5,7,6,2,0,0,0.817,1.923,0.298
L,2,5,27/2/2021,46181,NH,MIN,Megan Keller,D,34.31,0,0.07,0,0,0,3,0,0,0,0,0,0,7,3,0,7,4,0,3,1,0.19,0.371,0.403,0.167,3,44,27,19,12,100,72,10,6,8,6,2,0,1,1.221,2.396,0.338
L,2,5,27/2/2021,46181,NH,MIN,Jacquie Greco,D,12.28,0,0.013,0,0,0,2,2,0,0,0,0,0,2,1,0,0,0,0,2,0,0.04,0.364,0.417,0,1,23,10,7,4,43,30,2,2,3,0,0,0,1,0.298,1.184,0.201
L,2,5,27/2/2021,46181,NH,MIN,Codie Cross,D,21.26,0,0.246,0,0,0,8,3,0,0,1,0,1,9,6,1,1,0,1,6,4,0.3,0.443,0.374,0.429,3,26,18,12,9,51,32,4,3,4,0,2,0,1,1.273,2.085,0.379
L,3,4,28/2/2021,46182,MIN,NH,Sophia Shaver,D,26.57,0,0.052,0,0,0,7,3,0,0,0,0,0,9,6,2,2,2,2,1,2,0.2,0.448,0.297,0.6,1,18,9,7,4,37,16,2,3,2,2,0,1,0,2.099,0.721,0.744
L,3,4,28/2/2021,46182,MIN,NH,Savannah Harmon,D,31.59,0,0.164,0,0,0,7,1,0,0,1,0,0,18,13,0,2,1,0,2,1,0.37,0.457,0.324,0.273,1,25,11,14,8,66,43,5,4,6,4,0,0,0,2.29,1.368,0.626
L,3,4,28/2/2021,46182,MIN,NH,Lee Stecklein,D,31.24,0,0.076,0,0,0,3,0,0,0,0,0,0,14,11,1,1,1,1,5,0,0.26,0.314,0.48,0.412,3,37,17,17,11,107,71,9,1,11,4,1,0,0,1.318,2.23,0.371
L,3,4,28/2/2021,46182,MIN,NH,Demi Crossman,D,22.27,0,0.003,0,0,0,1,0,0,0,0,0,0,4,4,0,0,0,0,2,0,0.13,0.246,0.524,0.4,2,31,14,15,10,76,47,7,2,8,3,1,1,0,0.822,1.745,0.32
W,4,3,28/2/2021,46182,NH,MIN,Jincy Dunne,D,22.41,0,0.142,0,0,0,3,0,0,0,1,0,0,12,9,2,0,0,2,5,1,0.25,0.431,0.331,0.667,2,26,15,10,7,67,53,6,4,5,1,2,0,0,1.192,1.797,0.399
W,4,3,28/2/2021,46182,NH,MIN,Kali Flanagan,D,30.57,0,0.178,0,0,0,7,1,0,0,1,0,0,6,4,1,3,2,1,4,1,0.15,0.358,0.408,0.2,1,37,11,16,5,100,67,7,7,6,1,0,0,0,1.378,1.566,0.468
W,4,3,28/2/2021,46182,NH,MIN,Megan Keller,D,30.25,0,0.447,1,1,0,7,4,2,0,1,1,0,16,12,1,4,4,3,5,1,0.33,0.401,0.386,0.333,0,35,12,16,5,82,55,6,4,7,1,1,0,0,1.446,1.464,0.497
W,4,3,28/2/2021,46182,NH,MIN,Jacquie Greco,D,11.21,0,0.017,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0.03,0.328,0.479,0.333,1,15,9,5,3,46,32,4,1,1,0,0,0,0,0.411,0.588,0.411
W,4,3,28/2/2021,46182,NH,MIN,Chelsey Goldberg,F,4.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111,0.773,0,0,10,5,4,3,34,23,2,1,1,0,0,0,0,0,0.679,0
W,4,3,28/2/2021,46182,NH,MIN,Codie Cross,D,24.31,0,0.298,0,0,0,3,1,0,0,1,0,0,12,7,0,1,1,0,4,0,0.18,0.382,0.416,0.375,2,27,11,9,6,101,77,7,4,3,1,1,1,0,1.426,1.623,0.468
W,4,1,6/3/2021,46183,MIN,NH,Savannah Harmon,D,32.22,0,0.088,0,0,0,3,2,1,0,0,0,0,20,10,2,1,0,3,3,4,0.45,0.383,0.405,0.364,1,29,18,14,10,102,67,8,6,5,1,0,0,0,2.463,2.153,0.534
W,4,1,6/3/2021,46183,MIN,NH,Lee Stecklein,D,30.07,0,0.032,0,0,0,1,1,0,0,0,0,0,3,1,0,5,4,0,1,0,0.03,0.317,0.485,0.214,1,37,18,18,9,96,59,7,4,7,3,0,0,1,1.155,1.972,0.369
W,4,1,6/3/2021,46183,MIN,NH,Demi Crossman,D,23.46,0,0.028,0,0,0,2,0,0,0,0,0,0,3,2,1,3,1,1,0,0,0.07,0.285,0.472,0.333,0,30,17,14,7,66,39,9,4,4,3,0,0,0,0.76,1.317,0.366
W,4,1,6/3/2021,46183,MIN,NH,Maddie Rolfes,D,29.09,1,0.102,0,0,0,2,1,1,0,0,0,0,20,14,0,0,0,1,2,0,0.33,0.413,0.38,0.333,0,26,14,12,9,75,45,7,5,4,2,0,1,0,2.451,1.22,0.668
L,1,4,6/3/2021,46183,NH,MIN,Kali Flanagan,D,30.14,0,0.173,0,0,0,4,4,1,1,0,0,0,18,14,1,1,1,2,5,2,0.46,0.442,0.359,0.333,3,27,13,12,8,87,53,1,5,5,1,0,1,1,2.087,2.353,0.47
L,1,4,6/3/2021,46183,NH,MIN,Megan Keller,D,33,0,0.226,0,0,0,8,2,1,0,1,0,0,26,16,3,5,4,4,9,4,0.5,0.474,0.335,0.25,3,21,13,10,6,92,59,1,4,5,1,0,0,0,2.297,2.097,0.523
L,1,4,6/3/2021,46183,NH,MIN,Codie Cross,D,18.46,0,0.265,0,0,0,4,2,2,1,1,0,0,5,2,0,2,0,2,4,2,0.12,0.42,0.374,0.5,1,17,8,8,4,74,49,4,1,2,2,0,0,0,1.123,0.902,0.555
L,1,4,6/3/2021,46183,NH,MIN,Jincy Dunne,D,20.38,0,0.035,0,0,0,2,1,0,0,1,1,0,3,3,1,1,1,1,4,0,0.04,0.328,0.432,0.143,1,19,10,11,5,84,51,8,2,4,1,1,0,0,0.491,1.025,0.324
L,1,4,6/3/2021,46183,NH,MIN,Lillian Ribeirinha-Braga,D,17.57,0,0.018,0,0,0,1,0,0,0,0,0,0,5,2,0,3,1,0,2,1,0.08,0.398,0.365,0.438,0,15,10,7,5,67,45,6,0,4,1,1,0,0,0.63,0.949,0.399
W,6,2,7/3/2021,46658,MIN,NH,Savannah Harmon,D,26.47,0,0.192,1,1,0,9,3,0,1,1,0,0,9,4,1,2,0,1,2,1,0.33,0.452,0.353,0.273,0,16,5,5,2,58,39,6,2,0,0,0,1,0,2.597,0.54,0.828
W,6,2,7/3/2021,46658,MIN,NH,Lee Stecklein,D,35.59,1,0.095,0,0,0,4,2,0,0,1,0,0,17,12,1,1,1,1,2,0,0.25,0.39,0.403,0.368,1,35,17,15,4,122,96,16,5,2,0,1,0,0,2.43,1.967,0.553
W,6,2,7/3/2021,46658,MIN,NH,Demi Crossman,D,24.39,0,0.035,0,0,0,4,0,0,0,0,0,0,8,5,1,1,1,1,1,1,0.12,0.404,0.384,0.625,1,21,9,9,3,58,41,5,3,1,0,1,0,3,1.483,0.974,0.604
W,6,2,7/3/2021,46658,MIN,NH,Maddie Rolfes,D,30.07,0,0.083,2,1,1,6,3,0,0,0,0,0,12,9,1,0,0,1,1,2,0.27,0.367,0.44,0.467,2,30,16,12,8,104,79,12,3,2,0,2,0,0,1.937,1.657,0.539
L,2,6,7/3/2021,46658,NH,MIN,Kali Flanagan,D,30.4,0,0.163,0,0,0,6,4,0,0,0,0,0,18,13,1,0,0,1,7,1,0.49,0.403,0.406,0.125,5,37,24,21,13,119,82,8,7,10,3,3,0,0,1.499,2.752,0.353
L,2,6,7/3/2021,46658,NH,MIN,Megan Keller,D,28.46,0,0.122,0,0,0,6,3,0,0,0,0,0,22,17,2,6,2,2,7,3,0.53,0.402,0.408,0.308,2,28,14,12,5,102,65,5,2,5,2,0,0,0,0.947,1.178,0.446
L,2,6,7/3/2021,46658,NH,MIN,Codie Cross,D,22.24,0,0,0,0,0,0,0,0,0,0,0,0,13,10,1,1,1,1,4,1,0.24,0.366,0.441,0.167,0,28,16,14,9,84,57,7,8,3,0,3,0,0,0.853,1.609,0.346
L,2,6,7/3/2021,46658,NH,MIN,Jincy Dunne,D,17.56,0,0.009,0,0,0,2,1,0,0,0,0,0,6,5,0,0,0,0,4,0,0.15,0.368,0.443,0.286,3,23,17,15,14,63,40,8,9,1,2,4,0,0,0.646,2.261,0.222
L,2,6,7/3/2021,46658,NH,MIN,Lillian Ribeirinha-Braga,D,19.44,0,0.097,0,0,0,3,2,1,1,0,0,0,4,3,0,3,1,1,3,1,0.16,0.354,0.416,0.091,2,29,18,13,10,68,48,8,8,3,1,4,0,1,1.094,1.622,0.403
W,3,1,16/5/2021,47484,MIN,NH,Sophia Shaver,D,28.53,0,0.024,1,0,1,2,0,0,0,0,0,0,19,13,5,4,4,5,3,1,0.3,0.451,0.359,0.5,1,26,13,13,8,91,66,7,5,5,0,0,0,0,3.143,1.254,0.715
W,3,1,16/5/2021,47484,MIN,NH,Savannah Harmon,D,31.39,0,0.057,0,0,0,7,4,0,0,0,0,0,18,10,1,2,2,1,2,2,0.47,0.435,0.393,0.111,0,27,15,16,12,88,56,4,5,4,7,2,0,0,2.281,1.309,0.635
W,3,1,16/5/2021,47484,MIN,NH,Lee Stecklein,D,28.2,0,0.096,1,0,1,5,3,1,0,0,0,0,11,8,0,2,2,1,3,0,0.24,0.431,0.374,0.273,1,26,13,12,7,87,62,6,5,4,1,0,0,0,3.065,1.197,0.719
W,3,1,16/5/2021,47484,MIN,NH,Maddie Rolfes,D,30.17,0,0.281,0,0,0,6,2,0,1,1,1,0,15,10,1,2,0,1,0,3,0.39,0.413,0.412,0.273,0,27,15,15,11,84,52,3,5,3,8,2,0,0,2.17,1.251,0.634
L,1,3,16/5/2021,47484,NH,MIN,Gigi Marvin,D,25.19,0,0.014,0,0,0,2,1,0,0,0,0,0,9,5,1,1,1,1,3,2,0.19,0.405,0.419,0.286,1,22,15,13,9,75,46,7,3,5,2,1,0,1,0.655,2.021,0.245
L,1,3,16/5/2021,47484,NH,MIN,Kali Flanagan,D,32.41,0,0.138,0,0,0,6,1,0,1,0,0,0,18,13,1,1,0,1,0,1,0.48,0.393,0.438,0.3,2,45,22,22,7,102,71,13,8,7,3,1,0,0,1.762,3.51,0.334
L,1,3,16/5/2021,47484,NH,MIN,Megan Keller,D,31.17,0,0.378,0,0,0,7,3,2,2,1,1,1,15,11,1,1,1,3,5,2,0.34,0.395,0.419,0.308,3,41,21,15,6,94,61,10,3,6,2,2,0,0,1.578,3.45,0.314
L,1,3,16/5/2021,47484,NH,MIN,Jacquie Greco,D,15.11,0,0.021,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0.02,0.353,0.471,0,0,22,9,10,4,70,51,9,2,5,3,0,1,0,0.253,1.155,0.18
L,1,3,16/5/2021,47484,NH,MIN,Jincy Dunne,D,22.04,0,0.015,0,0,0,2,0,0,0,0,0,0,14,12,2,0,0,2,2,2,0.34,0.375,0.42,0.333,0,23,13,8,6,62,42,6,4,0,0,0,0,0,0.851,0.873,0.494
W,4,2,17/5/2021,47485,MIN,NH,Savannah Harmon,D,27.04,0,0.272,1,1,0,8,4,1,0,2,1,1,27,22,2,3,3,3,3,3,0.59,0.524,0.313,0.429,1,17,12,8,6,52,35,3,3,2,1,1,0,0,2.342,0.708,0.768
W,4,2,17/5/2021,47485,MIN,NH,Lee Stecklein,D,33.49,0,0.045,0,0,0,6,4,0,0,0,0,0,18,16,1,0,0,1,2,1,0.36,0.453,0.362,0.429,1,27,16,13,9,95,63,8,5,5,2,2,0,0,2.397,2.144,0.528
W,4,2,17/5/2021,47485,MIN,NH,Sophia Shaver,D,26.42,0,0.01,0,0,0,1,0,0,0,0,0,0,8,3,1,2,2,1,1,2,0.12,0.411,0.399,0.25,2,26,17,14,11,87,58,7,4,5,3,3,0,0,1.536,2.407,0.39
W,4,2,17/5/2021,47485,MIN,NH,Demi Crossman,D,1.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.184,0.398,0,0,2,1,0,0,2,1,0,0,0,0,0,0,0,0.133,0.025,0.84
W,4,2,17/5/2021,47485,MIN,NH,Maddie Rolfes,D,27.02,0,0.157,1,0,1,8,2,1,1,1,0,0,12,7,1,3,2,2,4,1,0.31,0.531,0.303,0.286,0,14,10,5,4,56,37,2,2,2,0,0,0,0,2.519,0.314,0.889
L,2,4,17/5/2021,47485,NH,MIN,Gigi Marvin,D,24.27,0,0.321,0,0,0,3,1,0,0,0,0,0,3,2,0,0,0,0,1,0,0.08,0.265,0.585,0.167,2,55,27,31,18,131,100,7,9,16,4,1,0,0,0.86,3.096,0.217
L,2,4,17/5/2021,47485,NH,MIN,Jacquie Greco,D,19.17,0,0.008,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0.01,0.311,0.492,0,2,31,19,17,11,79,56,7,4,8,4,1,0,0,0.538,1.799,0.23
L,2,4,17/5/2021,47485,NH,MIN,Kali Flanagan,D,35.54,0,0.144,1,1,0,6,2,1,0,1,0,0,14,11,0,2,2,1,5,3,0.44,0.354,0.47,0.167,2,53,29,23,15,132,91,13,9,8,1,0,1,0,2.232,2.403,0.482
L,2,4,17/5/2021,47485,NH,MIN,Megan Keller,D,32.06,0,0.084,0,0,0,3,2,1,0,0,0,0,17,12,2,2,2,3,11,6,0.32,0.385,0.436,0.143,2,33,16,17,11,113,77,12,5,6,2,0,1,1,1.548,1.671,0.481
L,2,4,17/5/2021,47485,NH,MIN,Jincy Dunne,D,10.16,0,0.009,0,0,0,1,1,0,0,0,0,0,2,2,0,0,0,0,2,0,0.05,0.307,0.516,0,0,17,12,7,4,43,31,1,1,5,1,0,0,0,0.42,0.666,0.386
W,3,2,24/5/2021,48265,MTL,TOR,Jaime Bourbonnais,D,22.46,0,0.08,0,0,0,3,1,1,0,0,0,0,13,10,2,2,1,3,3,1,0.23,0.32,0.505,0.286,0,47,24,30,15,85,57,8,8,10,2,5,0,0,1.688,2.863,0.371
W,3,2,24/5/2021,48265,MTL,TOR,Erin Ambrose,D,26.36,1,0.145,0,0,0,4,3,1,0,1,0,0,12,12,1,7,4,2,2,0,0.39,0.352,0.46,0.429,1,26,11,19,9,103,58,5,7,6,3,2,0,0,1.776,1.434,0.553
W,3,2,24/5/2021,48265,MTL,TOR,Lauriane Rougeau,D,23.5,0,0.236,0,0,0,4,1,0,0,2,1,0,12,7,1,4,2,1,1,0,0.18,0.402,0.398,0.429,1,30,15,15,9,69,44,4,6,1,4,1,2,0,1.722,1.359,0.559
W,3,2,24/5/2021,48265,MTL,TOR,Karell Emard,D,17.31,0,0.037,0,0,0,2,1,0,0,0,1,0,3,1,0,0,0,0,1,0,0.06,0.276,0.513,0.1,0,24,15,16,11,59,32,5,6,5,1,1,1,0,0.534,1.886,0.221
W,3,2,24/5/2021,48265,MTL,TOR,Catherine Daoust,D,17.22,0,0.026,0,0,0,1,0,0,0,1,1,0,2,1,0,0,0,0,0,0,0.06,0.332,0.508,0.308,1,31,19,18,11,75,53,5,6,6,1,3,0,0,0.716,1.762,0.289
W,3,2,24/5/2021,48265,MTL,TOR,Samantha Isbell,F,9.26,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,1,1,0.08,0.371,0.446,0.167,1,11,6,6,3,25,13,1,3,0,1,0,0,0,0.619,0.422,0.595
L,2,3,24/5/2021,48265,TOR,MTL,Jocelyne Larocque,D,25.44,0,0.047,1,1,0,4,3,0,0,0,0,0,11,9,1,3,2,1,3,2,0.23,0.467,0.337,0.556,1,20,10,13,6,64,36,5,1,5,2,1,0,0,2.335,1.336,0.636
L,2,3,24/5/2021,48265,TOR,MTL,Laura Fortino,D,21.58,0,0.027,0,0,0,2,1,0,0,0,0,0,20,17,1,4,3,1,2,1,0.47,0.453,0.365,0.167,2,26,18,17,12,66,50,13,4,7,1,1,0,0,1.799,1.767,0.504
L,2,3,24/5/2021,48265,TOR,MTL,Renata Fast,D,18.48,0,0,0,0,0,0,0,0,0,0,0,0,10,6,2,1,1,2,1,2,0.13,0.443,0.368,0.5,0,14,8,8,4,52,28,2,0,2,2,1,3,1,2.325,0.873,0.727
L,2,3,24/5/2021,48265,TOR,MTL,Ella Shelton,D,23.51,1,0.18,0,0,0,7,3,1,0,1,0,0,15,12,1,3,3,2,4,2,0.39,0.413,0.402,0.091,2,29,19,18,12,72,53,12,5,7,1,1,0,1,1.607,2.125,0.431
L,2,3,24/5/2021,48265,TOR,MTL,Claire Thompson,D,14.25,0,0.09,0,0,0,5,1,0,0,0,0,0,9,4,0,1,1,0,0,0,0.15,0.511,0.33,0.571,1,14,12,11,9,45,36,4,5,5,0,0,0,1,0.702,1.235,0.362
L,2,3,24/5/2021,48265,TOR,MTL,Ella Matteucci,D,11.44,0,0.021,0,0,0,3,0,0,0,0,0,0,3,1,0,3,1,0,0,0,0.05,0.49,0.296,0.333,0,11,9,8,6,32,27,3,3,4,0,0,0,0,0.356,0.561,0.388
L,1,6,25/5/2021,48266,CAL,MTL,Katelyn Gosling,D,21.25,0,0.118,0,0,0,3,0,0,0,1,1,0,6,2,1,1,1,1,1,1,0.09,0.428,0.398,0.2,0,24,13,10,4,58,36,5,5,3,1,0,0,0,1.495,1.033,0.591
L,1,6,25/5/2021,48266,CAL,MTL,Brigette Lacquette,D,24.5,0,0.228,0,0,0,7,3,1,0,0,0,0,5,3,2,3,1,3,4,1,0.15,0.353,0.469,0.222,4,39,21,22,14,70,46,6,9,6,1,3,1,1,0.886,2.775,0.242
L,1,6,25/5/2021,48266,CAL,MTL,Meaghan Mikkelson,D,24.28,0,0.326,0,0,0,5,1,1,0,0,0,0,8,4,1,1,1,2,2,1,0.09,0.446,0.377,0.545,1,27,15,11,5,66,39,7,7,1,0,2,1,0,1.598,2.336,0.406
L,1,6,25/5/2021,48266,CAL,MTL,Alexis Woloschuk,D,24.09,0,0.024,0,0,0,2,0,0,0,0,0,0,8,5,0,1,1,0,0,0,0.14,0.342,0.493,0.308,4,43,22,23,14,82,58,6,9,6,1,2,0,0,0.762,2.374,0.243
L,1,6,25/5/2021,48266,CAL,MTL,Megan Grenon,D,11.6,0,0.004,0,0,0,1,0,0,0,0,0,0,2,1,0,2,2,0,0,0,0.04,0.33,0.439,0,1,16,7,11,6,38,20,5,6,4,0,2,0,0,0.422,1.63,0.205
W,6,1,25/5/2021,48266,MTL,CAL,Jaime Bourbonnais,D,22.43,0,0.375,1,0,1,5,3,1,1,0,0,0,12,8,2,2,0,3,2,3,0.29,0.454,0.355,0.5,0,25,12,13,7,38,20,5,2,2,1,1,0,0,2.72,1.262,0.683
W,6,1,25/5/2021,48266,MTL,CAL,Erin Ambrose,D,26.13,0,0.09,0,0,0,6,3,0,0,0,0,0,9,5,1,2,1,1,1,2,0.26,0.395,0.43,0.444,1,22,8,8,5,60,30,1,4,2,1,1,0,0,2.922,0.943,0.756
W,6,1,25/5/2021,48266,MTL,CAL,Lauriane Rougeau,D,11.09,0,0.111,1,0,1,4,2,1,0,2,0,0,4,2,1,0,0,2,1,0,0.1,0.48,0.35,0.25,0,12,6,5,3,17,11,3,3,2,0,0,0,0,1.652,0.674,0.71
W,6,1,25/5/2021,48266,MTL,CAL,Karell Emard,D,22.2,1,0.121,0,0,0,2,1,1,0,1,0,0,2,1,0,1,0,1,1,0,0.01,0.396,0.417,0.167,1,16,7,6,4,49,26,2,2,3,1,0,0,0,1.061,0.615,0.633
W,6,1,25/5/2021,48266,MTL,CAL,Catherine Daoust,D,17.02,0,0.028,1,0,1,2,1,0,0,0,0,0,4,3,0,1,0,0,1,0,0.11,0.48,0.32,0.2,0,16,10,8,6,24,12,3,5,2,0,2,0,0,1.204,1.097,0.523
